PRODUTO           |KIT ID             |QTDE            |COD INTERNO
SERTO 1/4X930     |HG325-16-4 DKO     |          1,0000|       337315
SERTO 12X2600     |100-12-12          |          1,0000|        11026
SERTO 12X2600     |100R2AT-12         |          2,6000|        11100
SERTO 12X2600     |113-12-12          |          1,0000|        11469
SERTO 12X3000     |100-12-12          |          1,0000|        11026
SERTO 12X3000     |100R12-12          |          3,0000|        11068
SERTO 12X3000     |103-12-12          |          1,0000|        11227
SERTO 12X3000     |MP-25-12           |          3,0000|        21336
SERTO 16X3200     |100-16-16          |          1,0000|        11033
SERTO 16X3200     |100R12-16          |          3,2000|        11069
SERTO 16X3200     |112-16-16          |          1,0000|        11434
SERTO 16X3600     |100R13-16          |          3,6000|        11075
SERTO 16X3600     |M47411-16-16       |          1,0000|       332707
SERTO 16X3600     |M47441-16-16       |          1,0000|       335726
SERTO 16X700      |100R12-16          |          0,7000|        11069
SERTO 16X700      |105-16-16COD62     |          1,0000|        11298
SERTO 16X700      |MP-32              |          0,7000|        21337
SERTO 16X700      |ORS-16-16          |          1,0000|        22115
SERTO 1X2070      |100R13-16          |          2,0700|        11075
SERTO 1X2070      |107-16-C62-DI      |          1,0000|       337162
SERTO 1X2070      |M47411-16-16       |          1,0000|       332707
SERTO 1X2070      |MP-32              |          2,0700|        21337
SERTORIO 6X350    |100-8-6            |          1,0000|        11053
SERTORIO 6X350    |100R2AT-6          |          0,3500|        11107
SERTORIO 6X350    |103-8-6            |          1,0000|        11251
SERTORIO 6X350    |MP-20-6            |          0,3500|        21333
SF 10X3250        |100R2AT-10         |          3,2500|        11099
SF 10X3250        |103-12-10          |          1,0000|        11226
SF 10X3250        |112-10-10          |          1,0000|        11423
SF 12X600         |100-12-12          |          2,0000|        11026
SF 12X600         |100R2AT-12         |          0,6000|        11100
SF 6X400          |100-6-6            |          1,0000|        11048
SF 6X400          |100R2AT-6          |          0,4000|        11107
SF 6X400          |113-6-6            |          1,0000|        11482
SF 8X2000         |100-10-8           |          2,0000|        11023
SF 8X2000         |100R2AT-8          |          2,0000|        11108
SISCATI 10X560    |EQUATOR-10         |          0,5600|       339374
